id,platforms
4200,"PlayStation 3, PC, Xbox 360, Linux, macOS, Xbox One"
7689,"Xbox One, PC, macOS, PlayStation 4"
13536,"macOS, PC, Android, PlayStation 3, Xbox 360, Linux, Nintendo Switch"
3272,"Nintendo Switch, Linux, macOS, Xbox One, PC, PlayStation 4"
4286,"PlayStation 3, macOS, PC, Xbox 360"
4291,"PC, Linux, Xbox 360, PlayStation 3"
3439,"iOS, PC, Linux, PlayStation 3, macOS, Xbox 360, Android, PlayStation 4, Xbox One"
3287,"PC, Nintendo Switch, Xbox One, PlayStation 4"
3192,"PlayStation 4, PC, Xbox One, PlayStation 3, Xbox 360"
802,"PlayStation 3, macOS, PC, Android, Linux, PS Vita, Xbox 360"
12020,"Xbox 360, Linux, PC, macOS"
13537,"PC, macOS, Xbox 360, Linux, Xbox, Android"
5679,"PC, Xbox Series S/X, PlayStation 5, Xbox One, PlayStation 4, Nintendo Switch, Xbox 360, PlayStation 3"
16944,"macOS, PC, Xbox 360"
4062,"PlayStation 4, Xbox 360, Nintendo Switch, Linux, PC, PlayStation 3, Xbox One"
3939,"Linux, PC, Xbox One"
29028,"Xbox 360, PC"
4459,"Xbox 360, PC, PlayStation 3, Xbox One"
2454,"PC, PlayStation 4, Nintendo Switch, Xbox One"
1030,"PC, Android, PS Vita, PlayStation 4, PlayStation 3, Xbox 360, Linux, macOS, iOS, Xbox One, Nintendo Switch"
58175,"PC, PlayStation 4"
3328,"Xbox Series S/X, PlayStation 5, macOS, PlayStation 4, Nintendo Switch, PC, Xbox One"
5286,"PlayStation 3, Xbox 360, macOS, PC, Xbox One, PlayStation 4"
32,"PlayStation 4, Xbox One, PC, Web, Xbox Series S/X, PlayStation 5"
28,"PC, PlayStation 4, Xbox One"
278,"PC, PlayStation 4"
3070,"PlayStation 4, PC, PlayStation 5, Xbox One"
12447,"PlayStation 4, PC, Xbox One"
766,"iOS, Xbox Series S/X, PlayStation 5, PlayStation 4, Xbox One, Nintendo Switch, PC"
10754,"PlayStation 4, Nintendo Switch, macOS, PC, Xbox One"
3696,"Xbox One, PC, Xbox 360, PlayStation 3, PlayStation 4"
4332,"Xbox 360, PlayStation 3, Xbox One, PC"
41494,"PlayStation 4, PC, Xbox Series S/X, PlayStation 5, Xbox One"
1447,"Linux, PC, Xbox One, macOS, PlayStation 4"
19709,"Android, Linux, macOS, PC, Xbox 360"
3498,"PC, PlayStation 5, Xbox Series S/X, PlayStation 4, PlayStation 3, Xbox 360, Xbox One"
2551,"Xbox One, PlayStation 4, PC"
10142,"PC, Xbox One, PlayStation 4"
4828,"PC, Xbox 360, PlayStation 3"
9767,"PlayStation 4, Linux, macOS, PC, Nintendo Switch, Xbox One"
4248,"PlayStation 4, PlayStation 3, Xbox 360, PC, Xbox One"
9882,"Linux, Xbox One, PlayStation 4, macOS, PC"
39,"Xbox One, PC, PlayStation 4"
10533,"Xbox One, PlayStation 4, PC"
41,"iOS, PlayStation 4, PC, Xbox One, Nintendo Switch"
4514,"PlayStation 4, PlayStation 3, Xbox 360, PC, Xbox One, Nintendo Switch"
17576,"PlayStation 4, Xbox 360, Xbox One, PlayStation 3, macOS, PC"
46889,"PlayStation 4, Xbox One, PC"
3191,"PC, Xbox One, PlayStation 4, Xbox 360, Linux, macOS"
13535,"PC, Xbox 360, macOS"
19710,"Linux, PC, Xbox 360, Android, macOS"
430,"Android, macOS, PC, iOS, PlayStation 4, PS Vita, PlayStation 2, Xbox"
