id,screenshots
4286,"['https://media.rawg.io/media/screenshots/01f/01f62d7064838a5c3202acfc61503487.jpg', 'https://media.rawg.io/media/screenshots/7f5/7f517e07e36e4af5a7c0b86a7d42853f.jpg', 'https://media.rawg.io/media/screenshots/aca/aca089b963a42ec4cbf56b5e5334af8e.jpg', 'https://media.rawg.io/media/screenshots/3aa/3aa6f71eba1d64e671bd45826ca96560.jpg']"
41,"['https://media.rawg.io/media/screenshots/00a/00a53be1dcfba6c63ac6807637c4a45a.jpg', 'https://media.rawg.io/media/screenshots/78a/78aa666996cf9d2708f529c18784262f.jpg', 'https://media.rawg.io/media/screenshots/96d/96d356977066c0c2159ed7ef3f470cab.jpg', 'https://media.rawg.io/media/screenshots/3dc/3dc7c607ff7873eaa84a8d69eac26335.jpg']"
29028,"['https://media.rawg.io/media/screenshots/e79/e7946cab379370fdef03c2e2c9dfcce3.jpg', 'https://media.rawg.io/media/screenshots/ad4/ad433938bd2377b1beaa8a184bb67405.jpg', 'https://media.rawg.io/media/screenshots/28e/28e63b7f13e9ec24ad64ef5ae75e258c.jpg', 'https://media.rawg.io/media/screenshots/b99/b99a0bf0f09991d76ad13c65f7e64562.jpg']"
3070,"['https://media.rawg.io/media/screenshots/f55/f5598897e0e418c67521f2213dceb459.jpg', 'https://media.rawg.io/media/screenshots/37c/37ce90b25d84e531743917165115d24c.jpg', 'https://media.rawg.io/media/screenshots/fd3/fd3a97519e6d1b73f429f6bfcfb3bcf5.jpg', 'https://media.rawg.io/media/screenshots/069/0691b4c1b839e55531d8c3206cd83dd7.jpg']"
7689,"['https://media.rawg.io/media/screenshots/fbf/fbff1fe1f3cbe33dec8b2fc98bbad4a4.jpg', 'https://media.rawg.io/media/screenshots/c18/c187789c40eea061a44c3fb497059c01.jpg', 'https://media.rawg.io/media/screenshots/256/256472a369b9f52cfe0b8e85eb49ef19.jpg', 'https://media.rawg.io/media/screenshots/38a/38a67aab95a0a5f9fe1a40821a63f0c6.jpg']"
802,"['https://media.rawg.io/media/screenshots/adb/adbbb37113618ee107459cd5c344f2a8.jpg', 'https://media.rawg.io/media/screenshots/616/61643dd96e936d29eb68cf53b2334e53.jpg', 'https://media.rawg.io/media/screenshots/864/8644946ba14a03ab69f0766c42a03f80.jpg', 'https://media.rawg.io/media/screenshots/f87/f87ad2b8f02b56e36c57b25cf8eac042.jpg']"
3287,"['https://media.rawg.io/media/screenshots/1ed/1ed7f33789fdb79dbe7ae346f7b24fdf.jpg', 'https://media.rawg.io/media/screenshots/c19/c19a4d55f1fa9661b32d43e110a5dbff.jpg', 'https://media.rawg.io/media/screenshots/b87/b873d09e51115514cb1445a954dbca9e.jpg', 'https://media.rawg.io/media/screenshots/cbe/cbee51d83cafbe75224336859ddfc27e.jpg']"
4200,"['https://media.rawg.io/media/screenshots/221/221a03c11e5ff9f765d62f60d4b4cbf5.jpg', 'https://media.rawg.io/media/screenshots/173/1737ff43c14f40294011a209b1012875.jpg', 'https://media.rawg.io/media/screenshots/b11/b11a2ae0664f0e8a1ef2346f99df26e1.jpg', 'https://media.rawg.io/media/screenshots/9b1/9b107a790909b31918ebe2f40547cc85.jpg']"
16944,"['https://media.rawg.io/media/screenshots/0c2/0c2a61b9c675c79be87bb3932779062c.jpg', 'https://media.rawg.io/media/screenshots/361/36171d84641951be2ca964b667d55d54.jpg', 'https://media.rawg.io/media/screenshots/336/3366909fa35d542c7293df9d6b4d0aac.jpg', 'https://media.rawg.io/media/screenshots/c67/c672445939555d23ab0acbeba2d4527f.jpg']"
4459,"['https://media.rawg.io/media/screenshots/07f/07f7cf80741ff306e4eca982c3e64ac8.jpg', 'https://media.rawg.io/media/screenshots/fef/fefd51ec13aa33acbd796ef79bcef7cb.jpg', 'https://media.rawg.io/media/screenshots/b78/b78ffd258d5793be704c380e572748bc.jpg', 'https://media.rawg.io/media/screenshots/17c/17c85ab9dfc4fda8e1e5ba72932ef2bf.jpg']"
11973,"['https://media.rawg.io/media/screenshots/123/1239cbfc3e25664170e8c1d5049a6d91.jpg', 'https://media.rawg.io/media/screenshots/47c/47cf2d5a0c37a6262a431a490a57d58d.jpg', 'https://media.rawg.io/media/screenshots/9e7/9e7f6fad3ee317a7edf7f3bc6001ba9d.jpg', 'https://media.rawg.io/media/screenshots/97f/97fdbb526196705e25ee503bc248b63f.jpg']"
3272,"['https://media.rawg.io/media/screenshots/6a0/6a0745d9dcd0f7a368d372260baf91aa.jpg', 'https://media.rawg.io/media/screenshots/5ea/5ea8ab6a35f189489b2ec8713d4f1619.jpg', 'https://media.rawg.io/media/screenshots/508/5083fd170bf10606afd12afc7d17db04.jpg', 'https://media.rawg.io/media/screenshots/02d/02d36e8e01a9f1063c6431ce09324e24.jpg']"
3439,"['https://media.rawg.io/media/screenshots/edf/edfcbdf85f02f871263dabf1b4f0aa87.jpg', 'https://media.rawg.io/media/screenshots/4c6/4c6da2f36396d4ed51f82ba6159fa39b.jpg', 'https://media.rawg.io/media/screenshots/6aa/6aa56ef1485c8b287a913fa842883daa.jpg', 'https://media.rawg.io/media/screenshots/cb1/cb148b52fe857f5b0b83ae9c01f56d8e.jpg']"
4062,"['https://media.rawg.io/media/screenshots/bf0/bf07e2c6d2c888d372917d9ef453c8a4.jpg', 'https://media.rawg.io/media/screenshots/9d3/9d38833952812ad7888a6dc21699934f.jpg', 'https://media.rawg.io/media/screenshots/595/59572d257b6797986e4eabcd1ee023fd.jpg', 'https://media.rawg.io/media/screenshots/f71/f71c23eb76f050d6180490e82d58d799.jpg']"
278,"['https://media.rawg.io/media/screenshots/9cc/9cc79c34d70e437f3931f8476c384f43.jpg', 'https://media.rawg.io/media/screenshots/898/898c2b3a6985f964cd65d55d9d323dbd.jpg', 'https://media.rawg.io/media/screenshots/c44/c44b7da5fcbf57d740a7bafe435d555e.jpg', 'https://media.rawg.io/media/screenshots/c8c/c8cbefacf83746eadc23f19531676304.jpg']"
422,"['https://media.rawg.io/media/screenshots/3af/3afd69426804e7162edbe03cd9f8d0f4.jpg', 'https://media.rawg.io/media/screenshots/48c/48c7e3e1268467b91b24c7da7c6539df.jpg', 'https://media.rawg.io/media/screenshots/84b/84b447d4df99d42ffe479c7feb438171.jpg', 'https://media.rawg.io/media/screenshots/de0/de053efd6104719567d23fb0dad58b92.jpg']"
4291,"['https://media.rawg.io/media/screenshots/ff1/ff16661bb15f7969b44f6c4118870e44.jpg', 'https://media.rawg.io/media/screenshots/41b/41bb769d247412eac3336dec934aed72.jpg', 'https://media.rawg.io/media/screenshots/754/754545acdbf71f56e8902a07c7d20696.jpg', 'https://media.rawg.io/media/screenshots/fd8/fd873cab4c66db0b8e85d8a66e940074.jpg']"
5286,"['https://media.rawg.io/media/screenshots/4f9/4f9d5efdecfb63cb99f1baa4c0ceb3bf.jpg', 'https://media.rawg.io/media/screenshots/80f/80f373082b2a74da3f9c3fe2b877dcd0.jpg', 'https://media.rawg.io/media/screenshots/a87/a8733e877f8fbe45e4a727c22a06aa2e.jpg', 'https://media.rawg.io/media/screenshots/3f9/3f91678c6805a76419fa4ea3a045a909.jpg']"
5679,"['https://media.rawg.io/media/screenshots/3bd/3bd2710bd1ffb6664fdea7b83afd067e.jpg', 'https://media.rawg.io/media/screenshots/d4e/d4e9b13f54748584ccbd6f998094dade.jpg', 'https://media.rawg.io/media/screenshots/599/59946a630e9c7871003763d63184404a.jpg', 'https://media.rawg.io/media/screenshots/c5d/c5dad426038d7d12f933eedbeab48ff3.jpg']"
9767,"['https://media.rawg.io/media/screenshots/6b3/6b309936c1fe07e9b7fa5e62a372790d.jpg', 'https://media.rawg.io/media/screenshots/1a7/1a7a69db58c19d323f1dfbcc340d3f1e.jpg', 'https://media.rawg.io/media/screenshots/723/7237d0c546b0d17a6a226f38823081d4.jpg', 'https://media.rawg.io/media/screenshots/331/331095489397e7387681d921e8e472d4.jpg']"
3498,"['https://media.rawg.io/media/screenshots/a7c/a7c43871a54bed6573a6a429451564ef.jpg', 'https://media.rawg.io/media/screenshots/cf4/cf4367daf6a1e33684bf19adb02d16d6.jpg', 'https://media.rawg.io/media/screenshots/f95/f9518b1d99210c0cae21fc09e95b4e31.jpg', 'https://media.rawg.io/media/screenshots/a5c/a5c95ea539c87d5f538763e16e18fb99.jpg']"
13536,"['https://media.rawg.io/media/screenshots/99e/99e94bd55eb75fa6e75c3dcbb1a570b2.jpg', 'https://media.rawg.io/media/screenshots/2f0/2f0297a46934d9fa914c626902b1ce20.jpg', 'https://media.rawg.io/media/screenshots/3b3/3b3713fbca6194dfc4d6e8a8d006d354.jpg', 'https://media.rawg.io/media/screenshots/c6f/c6f9afc3e4dd51068b22f04acbc6ca99.jpg']"
3939,"['https://media.rawg.io/media/screenshots/c38/c38f5aa479eebab20cedcdae370e6e18.jpg', 'https://media.rawg.io/media/screenshots/442/442be5656b314e3289ecd1486b5282f1.jpg', 'https://media.rawg.io/media/screenshots/c2c/c2ccfeaeda357f932d1899a91f298850.jpg', 'https://media.rawg.io/media/screenshots/a18/a18da938def6ce6e5b571f1c20272ab0.jpg']"
3328,"['https://media.rawg.io/media/screenshots/1ac/1ac19f31974314855ad7be266adeb500.jpg', 'https://media.rawg.io/media/screenshots/6a0/6a08afca95261a2fe221ea9e01d28762.jpg', 'https://media.rawg.io/media/screenshots/cdd/cdd31b6b4a687425a87b5ce231ac89d7.jpg', 'https://media.rawg.io/media/screenshots/862/862397b153221a625922d3bb66337834.jpg']"
25,"['https://media.rawg.io/media/screenshots/c2a/c2ac323d687f1f07fc1a98ee30139b17.jpg', 'https://media.rawg.io/media/screenshots/37a/37a9ac78cbaf36661d1bcf5f9f799cf0.jpg', 'https://media.rawg.io/media/screenshots/5bc/5bcdd5a3cfeba374a2d6c4a7ba79e684.jpg', 'https://media.rawg.io/media/screenshots/2f6/2f6461df4db6815f7e9fa848a290d522.jpg']"
13537,"['https://media.rawg.io/media/screenshots/8af/8af6188357426890cbc8c8a34d9e7b75.jpg', 'https://media.rawg.io/media/screenshots/3b5/3b542c954ba5bd2f32da067c8122cd80.jpg', 'https://media.rawg.io/media/screenshots/3d6/3d6066e45d259d2e83bf6767e6113d94.jpg', 'https://media.rawg.io/media/screenshots/e49/e49327df2404df6c5dafa8eac7990852.jpg']"
