id,keywords
950387,"['friendship', 'surrealism', 'exploration', 'portal', 'miner', 'friends', 'survival', 'zombie', 'blunt', 'based on video game', 'aftercreditsstinger', 'duringcreditsstinger', 'journey', 'frantic', 'live action and animation', 'imagination', 'teamwork', 'fantasy', 'building']"
1197306,"['based on novel or book', 'kidnapping', 'vigilante', 'missing person', 'black ops', 'construction worker', 'criminal conspiracy', 'absurd']"
986056,"['villain', 'based on comic', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'political thriller', 'antihero', 'political drama', 'ragtag', 'band of misfits', 'dramatic', 'suspenseful', 'amused', 'comforting', 'excited']"
668489,"['winter', 'detective', 'rescue mission', 'shootout', 'dirty cop', 'criminal underworld', 'crooked politician', 'estranged son', 'aggressive', 'insecure', 'christmas', 'grim', 'drug deal', 'night club', 'brutal violence']"
1153714,"['dark comedy', 'unicorn', 'dark fantasy', 'horror comedy', 'father daughter estrangement']"
324544,"['witch', 'dystopia', 'sorcery', 'betrayal', 'based on short story', 'sorceress', 'high fantasy', 'survival adventure']"
1471014,[]
1124620,"['sibling relationship', 'shotgun', 'supernatural', 'drums', 'harpoon', 'dark comedy', 'gore', 'twin brother', 'maine', 'accidental death', 'wasp', 'monkey', 'exploding body', 'death', 'evil', 'evil twin', 'based on short story', 'dual role', 'cursed', '1990s', 'horror comedy', 'father son relationship', 'mother son relationship', 'brother brother relationship', 'toy monkey', 'supernatural horror', 'toy', 'cursed object', 'horror', 'disgusted', 'japanese restaurant', 'father son estrangement']"
1225915,[]
1414048,[]
822119,"['hero', 'superhero', 'revenge', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'sidekick', 'assassination attempt', 'political thriller', 'treaty', 'international relations']"
299537,"['superhero', 'based on comic', 'alien invasion', 'super power', 'female hero', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'woman director', '1990s', 'alien technology', 'introspective', 'complicated']"
374720,"['army', 'beach', 'france', 'allies', 'military officer', 'world war ii', 'evacuation', 'pilot', 'british army', 'rescue mission', 'europe', 'based on true story', 'royal navy', 'survival', 'historical fiction', 'soldier', 'private', 'military', 'dunkirk', '1940s', 'royal air force', 'raf', 'dreary', 'suspenseful', 'tense', 'intense', 'depressing', 'awestruck', 'compassionate', 'foreboding']"
769,"['prison', 'florida', 'new york city', 'based on novel or book', 'gangster', 'mass murder', 'drug trafficking', '1970s', 'irish-american', 'gore', 'biography', 'based on true story', 'murder', 'organized crime', 'mafia', 'brooklyn, new york city', 'crime epic', 'tampa, florida']"
1356236,[]
497698,"['assassin', 'hero', 'spy', 'kgb', 'based on comic', 'female assassin', 'female spy', 'female hero', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'woman director']"
1092899,[]
348,"['android', 'spacecraft', 'space marine', 'biology', 'dystopia', 'countdown', 'space suit', 'beheading', 'space travel', 'cowardice', 'alien', 'space', 'female protagonist', 'parasite', 'space opera', 'cosmos', 'xenomorph']"
1045938,"['terrorist attack', 'political thriller', 'unassuming', 'inspirational', 'provocative', 'direct', 'suspenseful', 'critical', 'intense', 'dignified', 'empathetic', 'excited', 'farcical', 'powerful']"
1195506,"['pain', 'dark comedy', 'bank robbery', 'held hostage', 'aggressive', 'frantic', 'comedy thriller', 'comedy', 'action', 'amused', 'joyful', 'super hero', 'one-person film', 'car chase']"
974573,"['sequel', 'mysterious woman', 'shocking', 'satirical', 'playful', 'tense', 'hilarious', 'intense', 'bold', 'exhilarated', 'vibrant']"
1180906,[]
762509,"['friendship', 'paradise', 'lion', 'musical', 'prequel', 'jungle', 'told in flashback', 'betrayal by friend', 'chance meeting', 'live action remake', 'found family', 'lost']"
1249213,"['mother', 'photographer', 'date', 'poison', 'widow', 'restaurant', 'psychological thriller', 'whodunit', 'phone', 'murder mystery', 'suspenseful', 'thriller', 'hum', 'threatening behavior']"
870028,"['hitman', 'autism', 'sequel', 'conspiracy', 'whodunit', 'aggressive', 'mysterious death', 'brother brother relationship']"
335984,"['future', 'android', 'bounty hunter', 'artificial intelligence (a.i.)', 'genetics', 'dystopia', 'sequel', 'cyberpunk', 'los angeles, california', 'las vegas', 'tech noir', 'meditative', 'human cloning', 'blade runner', 'complex', '2040s', 'cautionary', 'audacious', 'compassionate']"
1241982,"['sea', 'ocean', 'villain', 'musical', 'sequel', 'duringcreditsstinger']"
346672,"['martial arts', 'sword', 'vampire', 'hybrid', 'ambition', 'sequel', 'betrayal', 'conspiracy', 'werewolf', 'gothic', 'uzi', 'dark fantasy', 'woman director', 'urban gothic', 'assertive', 'ominous']"
931349,"['cynical', 'distant  planet', 'absurd', 'critical', 'baffled', 'farcical']"
939243,"['moon', 'sequel', 'based on video game', 'psychotic', 'dual role', 'aftercreditsstinger', 'duringcreditsstinger', 'hedgehog', 'live action and animation', 'grandfather grandson relationship', 'animal human friendship', 'anthropomorphic animal', 'loss and grief', 'cliché', 'complicated', 'sceptical']"
1233413,"['chicago, illinois', 'capitalism', 'ku klux klan', 'musician', 'immortality', 'vampire', 'surrealism', 'sin', 'alcoholism', 'vampire hunter (slayer)', 'church', 'twins', 'estranged wife', 'dual role', 'cousin relationship', 'death of daughter', 'blues music', 'aftercreditsstinger', 'duringcreditsstinger', 'klansmen', '1990s', '1930s', 'salvation', 'assimilation', 'chinese immigrant', 'brother brother relationship', 'southern gothic', 'afro-descendants', 'cousins', 'supernatural horror', 'train station', 'juke joint', 'passing for white', 'mississippi', 'horror', 'conceited', 'kkk', 'period horror']"
38575,"['martial arts', 'duringcreditsstinger', 'karate kid', 'the karate kid', 'intense', 'pretentious', 'straightforward', 'tragic']"
